epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.706,0.24204,0.37931,1,3.02344,0.089055,5.5e-05,5.5e-05
2,66.2288,0.21502,0.78161,1,0.71875,0.0771036,0.000103615,0.000103615
3,90.4755,0.17878,0.72414,1,1.01758,0.0651404,0.00014035,0.00014035
4,110.981,0.13898,0.8046,1,0.62109,0.0531652,0.000165205,0.000165205
5,133.674,0.11284,0.81609,1,0.92578,0.0411782,0.00017818,0.00017818
6,156.251,0.07337,0.85057,1,0.5,0.0291793,0.000179275,0.000179275
7,177.039,0.07027,0.85057,1,0.59277,0.0171685,0.00016849,0.00016849
8,199.452,0.04795,0.86207,1,0.64307,0.00514583,0.000145825,0.000145825
9,220.326,0.09216,0.89655,1,0.59229,0.000104,0.000104,0.000104
10,243.298,0.09853,0.87356,1,0.58789,5.45e-05,5.45e-05,5.45e-05
